"id","app_label","model"
"1","admin","logentry"
"2","auth","permission"
"3","auth","group"
"4","auth","user"
"5","contenttypes","contenttype"
"6","sessions","session"
"7","core","country"
"8","church","church"
"9","meetings","meeting"
"10","meetings","event"
"11","members","member"
"12","departments","role"
"13","departments","department"
"14","departments","departmentmember"
"15","treasury","collectiontype"
"16","treasury","paymentmethod"
"17","treasury","collection"
"18","meetings","attendance"
"19","meetings","audiences"
"20","members","historicalmember"
"21","treasury","historicalcollection"
"22","school","promotion"
"23","school","module"
"24","school","session"
