"id","name","infos","created_at","updated_at"
"1","Réunion de prière","Temps de recherche de la face de Dieu","2025-10-10 10:29:25.509845","2025-10-10 10:29:25.509869"
"id","name","infos","created_at","updated_at"
"1","Culte d'adoration","Réunion de louange d'adoration et d'enseignement","12/2/2025 09:54:02.523145","12/2/2025 09:54:02.523193"
"2","Réunion de prière","Moment d'intercession pour la communauté, la ville, le pays et les autorités","12/2/2025 09:57:41.668289","12/2/2025 09:57:41.668319"
"3","Étude biblique","Moment d'étude biblique et d'enseignement","12/2/2025 09:59:20.589088","12/2/2025 09:59:20.589133"
"4","Retraite jeûne et prière","Retraite jeûne et prière","12/2/2025 10:00:52.529159","12/2/2025 10:00:52.529185"
"5","Campagne d'évangélisation","Campagne d'évangélisation","12/2/2025 10:02:02.126247","12/2/2025 10:02:02.126291"
"6","Culte de Pentecôte","Culte de Pentecôte","12/2/2025 10:04:01.531596","12/2/2025 10:04:01.531647"
"7","Culte de la zone Est","Culte de la zone Est","12/2/2025 10:05:04.959034","12/2/2025 10:05:04.959086"
"8","Veillée de prière","Veillée de prière","24/3/2025 13:10:14.23736","24/3/2025 13:10:14.237392"
"9","Réveillon",,"24/3/2025 13:10:24.11884","24/3/2025 13:10:24.118895"
